roi,epoch,experiment,rho,p_value
V3,28,random_target_e10_l10,-0.0018551963100454474,0.18980247583930426
FFC,28,random_target_e10_l10,0.12172963254523309,0.0
LO3,28,random_target_e10_l10,0.09565807824594821,0.0
V1,29,random_target_e10_l10,0.0040051573604711335,0.0046451808850671425
PIT,29,random_target_e10_l10,0.08407290081318781,0.0
V2,29,random_target_e10_l10,0.00040653073869670114,0.7738702435307752
LO2,29,random_target_e10_l10,0.13342153592583694,0.0
LO1,29,random_target_e10_l10,0.06442829297688922,0.0
V3,29,random_target_e10_l10,-0.0009006029734241617,0.5244489422560783
FFC,29,random_target_e10_l10,0.12189639129692202,0.0
LO3,29,random_target_e10_l10,0.09627280668995712,0.0
V1,30,random_target_e10_l10,0.005081243589229475,0.0003291601135195097
PIT,30,random_target_e10_l10,0.08460782518940957,0.0
V2,30,random_target_e10_l10,0.001759773807549182,0.21360133895192632
LO2,30,random_target_e10_l10,0.13370898610130721,0.0
LO1,30,random_target_e10_l10,0.06607791306164575,0.0
V3,30,random_target_e10_l10,0.0004192650361943508,0.766988651997136
FFC,30,random_target_e10_l10,0.1228728476750509,0.0
LO3,30,random_target_e10_l10,0.09715466814435929,0.0
V1,31,random_target_e10_l10,0.007559206150218094,9.16452329142547e-08
PIT,31,random_target_e10_l10,0.08772781216029235,0.0
V2,31,random_target_e10_l10,0.00386668954138869,0.00627987672579438
LO2,31,random_target_e10_l10,0.1378982933152714,0.0
LO1,31,random_target_e10_l10,0.06673825951504274,0.0
V3,31,random_target_e10_l10,0.001139301042670946,0.4207026408593757
FFC,31,random_target_e10_l10,0.12662036707437008,0.0
LO3,31,random_target_e10_l10,0.09828920913143452,0.0
V1,32,random_target_e10_l10,0.0071472229706014264,4.386429194640931e-07
PIT,32,random_target_e10_l10,0.08917479714466212,0.0
V2,32,random_target_e10_l10,0.00398424173165226,0.004864391093760049
LO2,32,random_target_e10_l10,0.13906902448286992,0.0
LO1,32,random_target_e10_l10,0.06894818544101239,0.0
V3,32,random_target_e10_l10,0.001750489153189272,0.2160271106714467
FFC,32,random_target_e10_l10,0.12863116319592302,0.0
LO3,32,random_target_e10_l10,0.10023950964558334,0.0
V1,33,random_target_e10_l10,0.00848754900919758,1.9890964102518153e-09
PIT,33,random_target_e10_l10,0.08794180890303269,0.0
V2,33,random_target_e10_l10,0.005280838528990893,0.000189765037050114
LO2,33,random_target_e10_l10,0.13719097012833087,0.0
