training_run,epoch,roi,rho,p_value
60,60,LOC,0.13468331668102848,0.0
61,61,va-1,0.06440829042316581,5.429280629262456e-236
61,61,va-2,0.07288180023103227,9.646671386776281e-302
61,61,va-3,0.07326631298137158,6.406183385640426e-305
61,61,LOC,0.13925908642342005,0.0
62,62,va-1,0.05849067400633471,6.4366292023707536e-195
62,62,va-2,0.07705632660761419,0.0
62,62,va-3,0.06493612624556211,7.546735568146752e-240
62,62,LOC,0.17488486398714936,0.0
63,63,va-1,0.06700371163537305,2.9128870549875496e-255
63,63,va-2,0.06661850551835936,2.3595731805426195e-252
63,63,va-3,0.076015356041145,0.0
63,63,LOC,0.12947210137551782,0.0
64,64,va-1,0.06781720544177429,1.8471695885944507e-261
64,64,va-2,0.07506670362501988,0.0
64,64,va-3,0.06707704709164453,8.103790082474809e-256
64,64,LOC,0.1211585927855655,0.0
65,65,va-1,0.05994932044880379,1.1312206675731228e-204
65,65,va-2,0.0770260706606032,0.0
65,65,va-3,0.05891881549761811,9.340572883147634e-198
65,65,LOC,0.14951225599398266,0.0
66,66,va-1,0.06781512426092659,1.9162798736071318e-261
66,66,va-2,0.06410573754868916,8.536121353184079e-234
66,66,va-3,0.0748875133037405,0.0
66,66,LOC,0.16071612730906562,0.0
67,67,va-1,0.07506839270309339,0.0
67,67,va-2,0.08851866425628971,0.0
67,67,va-3,0.07902998633532934,0.0
67,67,LOC,0.1620329597754861,0.0
68,68,va-1,0.05969705692297507,5.726634132790162e-203
68,68,va-2,0.07485347837827408,0.0
68,68,va-3,0.062481358831381825,3.517636172483861e-222
68,68,LOC,0.13647171372626427,0.0
69,69,va-1,0.05981211995258539,9.580811698502035e-204
69,69,va-2,0.05872033595241905,1.944208592271166e-196
69,69,va-3,0.07521823429744488,0.0
69,69,LOC,0.1627996796702459,0.0
70,70,va-1,0.06409172091675014,1.0783713341211623e-233
70,70,va-2,0.07939097581760429,0.0
70,70,va-3,0.0643091885243191,2.8534042724612665e-235
70,70,LOC,0.1293330292403381,0.0
71,71,va-1,0.07444505660496199,0.0
71,71,va-2,0.08079803382808187,0.0
71,71,va-3,0.07225092880843986,1.4508201474880465e-296
71,71,LOC,0.12510921174730516,0.0
72,72,va-1,0.07094505271898391,5.419819128130337e-286
72,72,va-2,0.07874510649810143,0.0
72,72,va-3,0.07098111457694689,2.7838098093507463e-286
72,72,LOC,0.12715065011020726,0.0
73,73,va-1,0.0691769068500368,5.482729992511669e-272
73,73,va-2,0.06654261100905366,8.78790634732427e-252
73,73,va-3,0.06871528209290191,2.1714393484826683e-268
73,73,LOC,0.15218448096124054,0.0
74,74,va-1,0.05924910500799502,5.842096806886942e-200
74,74,va-2,0.07536101915163383,0.0
74,74,va-3,0.05979144534016121,1.321401044242347e-203
74,74,LOC,0.1363191981369368,0.0
75,75,va-1,0.06804199392902009,3.4722263326493165e-263
75,75,va-2,0.08258766560631582,0.0
75,75,va-3,0.06760002570690868,8.482442236466952e-260
75,75,LOC,0.11816793563031909,0.0
76,76,va-1,0.06294735894856662,1.7572399332858986e-225
76,76,va-2,0.07454033030765153,0.0
76,76,va-3,0.06263109490260442,3.076967428787624e-223
76,76,LOC,0.11533143345969066,0.0
77,77,va-1,0.07105282410756757,7.393186814828955e-287
77,77,va-2,0.07745472100528457,0.0
77,77,va-3,0.06739218434147867,3.2661919873172657e-258
77,77,LOC,0.10582416133272336,0.0
78,78,va-1,0.07312355031797373,9.736906203182757e-304
78,78,va-2,0.08035465879215047,0.0
78,78,va-3,0.06921324733997423,2.8493127954547364e-272
78,78,LOC,0.09934469985165535,0.0
79,79,va-1,0.07286837178838747,1.2446605081748243e-301
79,79,va-2,0.06804570465440071,3.251391335468233e-263
79,79,va-3,0.0703657394826581,2.3005203692920947e-281
79,79,LOC,0.09874078262938542,0.0
80,80,va-1,0.0727478868231539,1.2221743047666274e-300
80,80,va-2,0.08083002623482403,0.0
80,80,va-3,0.07010227475496285,2.843511597396252e-279
80,80,LOC,0.12905656786508027,0.0
81,81,va-1,0.06610040447875527,1.811907361308648e-248
81,81,va-2,0.07892411720505578,0.0
81,81,va-3,0.06404442269007854,2.37211029132334e-233
81,81,LOC,0.1331143407330323,0.0
82,82,va-1,0.05780997351673985,1.8985592076889213e-190
82,82,va-2,0.0747285285293275,0.0
82,82,va-3,0.060791701078631,2.0412000028193288e-210
82,82,LOC,0.11874976433958649,0.0
83,83,va-1,0.06143656620972934,7.219510608917407e-215
83,83,va-2,0.07330431022718197,3.102112455713049e-305
83,83,va-3,0.06001926442987685,3.7993578056138213e-205
83,83,LOC,0.13118464148406375,0.0
84,84,va-1,0.06747266808307066,7.955251542972463e-259
